ck_id,title,source,source_id,source_file,source_line,source_rule,source_category,source_subcategory,source_severity,source_tool,source_commit,release_target,status,severity,domain,root_invariant,matrix_id,duplicate_of,breaking_risk,data_loss_risk,security_risk,determinism_risk,recovery_risk,requires_regression_test,requires_ci_gate,production_code,test_code,docs_only,area,critical_path,owner,decision,decision_rationale,planned_fix,validation_command,closure_proof,notes
CK-110-0001,Method TestRestoreOptionsOverwriteFalseRejectsExistingDestination has 91 lines of code (limit is 50),codacy,a3ffeea807380ab4eb01024475f66f95,internal/storage/restore_test.go,2132,Lizard_nloc-medium,Complexity,,Warning,Lizard,72e7d820bee113801805bf52d821193704364cb2,v1.10.5,open,S3,restore,Test complexity findings must be reviewed without weakening invariant coverage,,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,,,,,bucket=test-complexity-hotspot; line_text=func TestRestoreOptionsOverwriteFalseRejectsExistingDestination(t *testing.T) {
CK-110-0002,Method TestLoadSQLiteSchemaNormalizesLegacySchemaVersionHistory has a cyclomatic complexity of 11 (limit is 8),codacy,1b4d2f909c5d039111906539f9cbfe3f,internal/db/migrations_test.go,476,Lizard_ccn-medium,Complexity,,Warning,Lizard,53ee6c8e88183b8ed363c0cc897caf91cee0a5e5,backlog,open,S3,migration,Test complexity findings must be reviewed without weakening invariant coverage,,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,,,,,bucket=test-complexity-hotspot; line_text=func TestLoadSQLiteSchemaNormalizesLegacySchemaVersionHistory(t *testing.T) {
CK-110-0003,Method TestRunGCDryRunCurrentAndSnapshotSharedRetentionSurvivesCurrentDelete has a cyclomatic complexity of 12,codacy,83cd4dfbe61395442cc80723828104ef,internal/maintenance/gc_test.go,737,Lizard_ccn-medium,Complexity,,Warning,Lizard,3c3b1e9b2ca14b3986f54c909d7cd6bdbff68ecd,v1.10.4,open,S3,gc,Test complexity findings must be reviewed without weakening invariant coverage,,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,,,,,bucket=test-complexity-hotspot; line_text=func TestRunGCDryRunCurrentAndSnapshotSharedRetentionSurvivesCurrentDelete(t *testing.T) {
CK-110-0004,Method TestStoreFileNormalizesSymlinkAndRealPathToSingleIdentity has 54 lines of code (limit is 50),codacy,9378ffb5531bdf1508abab69423c89f4,internal/storage/physical_file_repository_test.go,414,Lizard_nloc-medium,Complexity,,Warning,Lizard,40a1210ffc8c23dc4a717ce32627c89658e0f608,backlog,open,S3,storage,Test complexity findings must be reviewed without weakening invariant coverage,,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,,,,,bucket=test-complexity-hotspot; line_text=func TestStoreFileNormalizesSymlinkAndRealPathToSingleIdentity(t *testing.T) {
CK-110-0005,Method TestRunMigrationsFailsOnLegacyUnsupportedStorageBlockCompressionCodec has 75 lines of code (limit is 50,codacy,b26ba57d1a8c7f55b98c12b581b8af7e,internal/db/migrations_test.go,997,Lizard_nloc-medium,Complexity,,Warning,Lizard,860df0049b148aaa794b2b5c4c531a7d5e3350a3,backlog,open,S3,migration,Test complexity findings must be reviewed without weakening invariant coverage,,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,,,,,bucket=test-complexity-hotspot; line_text=func TestRunMigrationsFailsOnLegacyUnsupportedStorageBlockCompressionCodec(t *testing.T) {
CK-110-0006,Method RepairLogicalRefCountsResultWithDB has 65 lines of code (limit is 50),codacy,cd70898ae5f29b25dd15e7ff58afc68a,internal/maintenance/repair_refcounts.go,23,Lizard_nloc-medium,Complexity,,Warning,Lizard,40a1210ffc8c23dc4a717ce32627c89658e0f608,v1.10.4,open,S2,gc,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,,,none,medium,none,medium,none,true,false,true,false,false,production,,,investigate,,,,,"bucket=production-complexity-hotspot; line_text=func RepairLogicalRefCountsResultWithDB(dbconn *sql.DB) (result RepairLogicalRefCountsResult, err error) {"
CK-110-0007,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,codacy,d91d62593c553c9c9344387a49bcea6,tests/adversarial/g69_gc_safety_matrix_test.go,162,Semgrep_go.lang.correctness.permissions.file_permission.incorrect-default-permission,Security,FileAccess,High,Opengrep,40a1210ffc8c23dc4a717ce32627c89658e0f608,v1.10.4,open,S3,gc,Test-only security scanner findings must be reviewed and suppressed only with rationale,,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,,,,,"bucket=test-security-noise; line_text=if err := os.MkdirAll(container.ContainersDir, 0o755); err != nil {"
CK-110-0008,Method CreateSnapshotWithOptions has 199 lines of code (limit is 50),codacy,1580eaeb6d19e75c32758d6f9333c17c,internal/snapshot/snapshot.go,1327,Lizard_nloc-medium,Complexity,,Warning,Lizard,40a1210ffc8c23dc4a717ce32627c89658e0f608,backlog,open,S2,snapshot,Production complexity hotspots in critical paths must be tracked without behavior-changing refactors,,,none,none,none,none,none,true,false,true,false,false,production,,,investigate,,,,,bucket=production-complexity-hotspot; line_text=func CreateSnapshotWithOptions(
CK-110-0009,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,8674c712204ea0c5bff6d81b6a8d4dc5,internal/snapshot/snapshot_bench_test.go,72,Semgrep_go_sql_rule-concat-sqli,Security,SQLInjection,Error,Opengrep,dcbd7dba8826034d5fe842c384fed3cbc2f62ac7,backlog,open,S3,snapshot,Test-only security scanner findings must be reviewed and suppressed only with rationale,,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,,,,,"bucket=test-security-noise; line_text=if _, err := insertPhysicalStmt.ExecContext("
CK-110-0010,Expected: 2; Actual: 3,codacy,549ee272844892205139122796c77c47,docs/benchmarking.md,649,markdownlint_MD007,CodeStyle,,Info,markdownlint,40a1210ffc8c23dc4a717ce32627c89658e0f608,backlog,open,S4,docs,Documentation style findings must be classified without blocking correctness releases,,,none,none,none,none,none,false,false,false,false,true,docs,,,investigate,,,,,bucket=docs-style; line_text=- repeated verify cycles (`verify --full` equivalent)
CK-110-0011,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,codacy,cce75e251cbeb1bf99ed1fdf95041e8c,tests/adversarial/v110_s0_chunk_reuse_bounds_stabilization_test.go,54,Semgrep_go.lang.correctness.permissions.file_permission.incorrect-default-permission,Security,FileAccess,High,Opengrep,40a1210ffc8c23dc4a717ce32627c89658e0f608,backlog,open,S3,storage,Test-only security scanner findings must be reviewed and suppressed only with rationale,,,none,none,none,none,none,false,false,false,true,false,test,,,investigate,,,,,"bucket=test-security-noise; line_text=if err := os.MkdirAll(pathsDir, 0o755); err != nil {"
CK-110-0012,Insecure dependency golang/stdlib@v1.23.0 (CVE-2025-58185: encoding/asn1: Parsing DER payload can cause memory,codacy,8231643c70a76bc5bb524637d42fe591,go.mod,3,Trivy_vulnerability_medium,Security,InsecureModulesLibraries,Warning,Trivy,40a1210ffc8c23dc4a717ce32627c89658e0f608,v1.10.2,open,S1,dependencies,Supported Go toolchain must not carry known unplanned CVEs,,,none,none,medium,none,none,true,true,true,false,false,production,,,fix,,,,,bucket=dependency-cve; line_text=go 1.23
CK-110-0013,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,c675567500c4fe56ff480f07cffc09c,internal/observability/stats.go,418,Semgrep_go_sql_rule-concat-sqli,Security,SQLInjection,Error,Opengrep,bc3e57ca58518f4aa470351716ec12be5c1ecae9,v1.10.2,open,S1,security,Dynamic SQL scanner findings must be reviewed for parameterization or safe identifier constraints,,,none,none,medium,none,none,true,false,true,false,false,production,,,investigate,,,,,"bucket=production-security-candidate; line_text=if err := s.db.QueryRowContext(ctx, query, args...).Scan(&chunkCount, &totalBytes); err != nil {"
